"Species","Season","Site","City","Long","Lat","Crs","Y","J"
"raccoon","OC16","R08-DAP1","chil",-88.07916556,41.87515101,4326,8,14
"raccoon","OC16","R08-PAP1","chil",-88.05904063,41.8561811,4326,10,30
"raccoon","OC16","R08-VLG1","chil",-88.07091278,41.8521756,4326,30,30
"raccoon","OC16","R08-WBK1","chil",-88.06135623,41.84175796,4326,5,29
"raccoon","OC16","R09-BLW1","chil",-88.14724262,41.86309312,4326,13,30
"raccoon","OC16","R09-CTG0","chil",-88.16212923,41.85014493,4326,1,29
"raccoon","OC16","R09-LIM0","chil",-88.12305588,41.87106444,4326,11,30
"raccoon","OC16","R09-SMI1","chil",-88.11233994,41.85279958,4326,11,30
"raccoon","OC16","R10-FRM1","chil",-88.2632106,41.81899974,4326,10,30
"raccoon","OC16","R10-FRM2","chil",-88.25455583,41.83329816,4326,26,30
"raccoon","OC16","R10-WCP0","chil",-88.2299927,41.88948618,4326,3,30
"raccoon","OC16","R10-WDW0","chil",-88.19222479,41.86593136,4326,4,17
"raccoon","OC16","S02-BNS1","chil",-87.59306926,41.81198992,4326,8,28
"raccoon","OC16","S02-BRI1","chil",-87.69796061,41.829108,4326,0,24
"raccoon","OC16","S02-PIP1","chil",-87.73000452,41.83325462,4326,1,28
"raccoon","OC16","S02-PLP1","chil",-87.64874972,41.84407767,4326,1,28
"raccoon","OC16","S02-TNW1","chil",-87.60065692,41.82389815,4326,0,0
"raccoon","OC16","S03-JKP2","chil",-87.58010698,41.78574236,4326,12,28
"raccoon","OC16","S03-LCP1","chil",-87.75085536,41.81401666,4326,0,28
"raccoon","OC16","S03-PSP1","chil",-87.73172978,41.7880381,4326,0,17
"raccoon","OC16","S03-VIP1","chil",-87.7478189,41.80241759,4326,0,28
"raccoon","OC16","S03-WAP1","chil",-87.71888828,41.81169474,4326,2,28
"raccoon","OC16","S04-HAP1","chil",-87.77935426,41.7803347,4326,0,28
"raccoon","OC16","S04-OTW1","chil",-87.80373503,41.81511794,4326,5,28
"raccoon","OC16","S04-SSP1","chil",-87.79732651,41.79931501,4326,0,28
"raccoon","OC16","S05-LNC1","chil",-87.84473133,41.74274601,4326,21,27
"raccoon","OC16","S05-RES1","chil",-87.82363466,41.76135893,4326,1,27
"raccoon","OC16","S05-SFP0","chil",-87.858986115,41.758854845,4326,1,26
"raccoon","OC16","S06-CBW0","chil",-87.89252291,41.72879771,4326,2,27
"raccoon","OC16","S07-ARG1","chil",-87.97052731,41.71888815,4326,0,0
