"Site","x","y","crs","urb","water_dist","open_dev"
"Site_0021",400587.000418845,4670521.99984188,32616,-2.42098507264553,-0.621578258688225,1.75905545431709
"Site_0022",394587.000418845,4671521.99984188,32616,-1.65738913029423,-0.201762390598257,0.328499183570413
"Site_0023",395587.000418845,4671521.99984188,32616,-2.41608188311804,-0.4788230301869,0.97920638614389
"Site_0024",396587.000418845,4671521.99984188,32616,-2.38334789562813,-0.737943224666025,2.22837248432809
"Site_0025",397587.000418845,4671521.99984188,32616,-2.10094002366152,-0.641194587777108,2.64121572582912
"Site_0026",398587.000418845,4671521.99984188,32616,-2.13721145590069,-0.713031566133652,1.61157279253825
"Site_0027",399587.000418845,4671521.99984188,32616,-1.73631376037525,-0.640152356114023,1.62285756918096
"Site_0028",400587.000418845,4671521.99984188,32616,-1.87977587898688,-0.675467619657499,1.79450138437337
"Site_0029",394587.000418845,4672521.99984188,32616,-1.06629774885166,-0.144914237815604,-0.129086200161207
"Site_0030",395587.000418845,4672521.99984188,32616,-2.00776201454505,-0.384276457869922,1.22036720225771
"Site_0031",396587.000418845,4672521.99984188,32616,-2.1575769932645,-0.525987905754387,4.4183970677232
"Site_0032",397587.000418845,4672521.99984188,32616,-1.34505998298136,-0.725114391794712,3.52513306943039
"Site_0033",398587.000418845,4672521.99984188,32616,-1.21067173000298,-0.597240310990082,0.837054257789134
"Site_0034",399587.000418845,4672521.99984188,32616,-1.57870347191216,-0.588107091143209,1.70867711937677
"Site_0035",400587.000418845,4672521.99984188,32616,-1.67676437503956,-0.503184474170633,2.70260126237417
"Site_0036",394587.000418845,4673521.99984188,32616,-0.592017240389196,0.00591848314385556,-0.251233559027343
"Site_0037",395587.000418845,4673521.99984188,32616,-0.941172352829307,-0.189450512487213,0.513611570693382
"Site_0038",396587.000418845,4673521.99984188,32616,-1.13304375503872,-0.456865344423554,1.462088797419
"Site_0039",397587.000418845,4673521.99984188,32616,-0.741675509555536,-0.708993871529187,1.16526321373641
"Site_0040",398587.000418845,4673521.99984188,32616,-0.963478563301654,-0.687059200384055,0.45472981702108
"Site_0041",399587.000418845,4673521.99984188,32616,-1.83258801359978,-0.583624042795668,1.16282710042829
"Site_0042",400587.000418845,4673521.99984188,32616,-2.07241680159033,-0.442433657197228,2.60634804397082
"Site_0043",394587.000418845,4674521.99984188,32616,-0.289423513378919,0.158702622101383,0.581339636872316
"Site_0044",395587.000418845,4674521.99984188,32616,-0.142775292385457,-0.0909918081911558,0.294654551244676
"Site_0045",396587.000418845,4674521.99984188,32616,-0.351332950123343,-0.317180976501398,0.18639148181489
"Site_0046",397587.000418845,4674521.99984188,32616,-0.492120258374975,-0.442445986476947,0.810553724155032
"Site_0047",398587.000418845,4674521.99984188,32616,-0.608798730556598,-0.52406484814163,0.798058458027062
"Site_0048",399587.000418845,4674521.99984188,32616,-1.68098235819322,-0.658492064005288,1.07684160943949
"Site_0049",400587.000418845,4674521.99984188,32616,-2.14261504823537,-0.510248565683323,2.75992576562799
"Site_0050",394587.000418845,4675521.99984188,32616,-1.00307432528297,0.00215935566780359,0.582883903979425
"Site_0051",395587.000418845,4675521.99984188,32616,-1.3381531274499,-0.216835205459905,0.37623318116243
"Site_0052",396587.000418845,4675521.99984188,32616,-0.909184248332636,-0.353928782139114,0.602567691979081
"Site_0053",397587.000418845,4675521.99984188,32616,-0.553860955737123,-0.359469116255955,1.60552275460193
"Site_0054",398587.000418845,4675521.99984188,32616,-0.457368695528135,-0.290806077943584,2.48901350091227
"Site_0055",399587.000418845,4675521.99984188,32616,-1.37435516004184,-0.393276452706935,2.11474366742877
"Site_0056",400587.000418845,4675521.99984188,32616,-1.99083412160743,-0.330977919246381,1.52953256337738
"Site_0057",394587.000418845,4676521.99984188,32616,-1.48821179053174,-0.0942417303102845,1.54746381992289
"Site_0058",395587.000418845,4676521.99984188,32616,-1.99436974245772,-0.365050686068038,0.680584114799171
"Site_0059",396587.000418845,4676521.99984188,32616,-1.40674525313792,-0.608337380780174,0.322822812839935
"Site_0060",397587.000418845,4676521.99984188,32616,-1.18909631630811,-0.615171329632144,1.10058814424413
"Site_0061",398587.000418845,4676521.99984188,32616,-1.34259593135353,-0.54421696047225,2.10722263802305
"Site_0062",399587.000418845,4676521.99984188,32616,-1.71347785924656,-0.55777559795799,0.967902175327862
"Site_0063",400587.000418845,4676521.99984188,32616,-1.89990352009412,-0.427727036081126,-0.0502645592930417
"Site_0064",394587.000418845,4677521.99984188,32616,-1.38914768361504,-0.223770469152049,2.51635003450426
"Site_0065",395587.000418845,4677521.99984188,32616,-1.3977673568836,-0.341579540938591,2.21148635817332
"Site_0066",396587.000418845,4677521.99984188,32616,-1.24480484408913,-0.552746354908593,0.844726560901505
"Site_0067",397587.000418845,4677521.99984188,32616,-1.64906473652031,-0.644463595615694,1.61150263371646
"Site_0068",398587.000418845,4677521.99984188,32616,-1.85187695988922,-0.681664625267397,2.52964515966218
"Site_0069",399587.000418845,4677521.99984188,32616,-1.64012606930349,-0.680037369036677,0.628427414918557
"Site_0070",400587.000418845,4677521.99984188,32616,-1.49745007516694,-0.544939748602317,0.101645999624167
"Site_0071",394587.000418845,4678521.99984188,32616,-0.854376114029011,-0.489036672207634,1.18466492150233
"Site_0072",395587.000418845,4678521.99984188,32616,-1.00303380280689,-0.455475683605225,1.02738416435257
"Site_0073",396587.000418845,4678521.99984188,32616,-0.91441824682284,-0.538745991249303,0.490201315793383
"Site_0074",397587.000418845,4678521.99984188,32616,-1.4858676606947,-0.718967398870556,1.54242714413281
"Site_0075",398587.000418845,4678521.99984188,32616,-1.37591241177079,-0.675908058345741,1.58556360928233
"Site_0076",399587.000418845,4678521.99984188,32616,-1.76482282342908,-0.65325688349806,-0.36395213510934
"Site_0077",400587.000418845,4678521.99984188,32616,-1.616769804214,-0.501936056736335,0.268684372056044
"Site_0078",394587.000418845,4679521.99984188,32616,-1.54934315318434,-0.633206838719948,1.37969780917161
"Site_0079",395587.000418845,4679521.99984188,32616,-1.61145336066052,-0.585751747198532,1.47475726357774
"Site_0080",396587.000418845,4679521.99984188,32616,-1.36674972816653,-0.340283405595176,0.382590590510237
"Site_0081",397587.000418845,4679521.99984188,32616,-1.43956368872655,-0.468124247759876,1.06699218123062
"Site_0082",398587.000418845,4679521.99984188,32616,-1.64446930569939,-0.582064217659136,0.689982700050458
"Site_0083",399587.000418845,4679521.99984188,32616,-1.8715858771169,-0.439278057612307,0.700790139153523
"Site_0084",400587.000418845,4679521.99984188,32616,-1.90425209141635,-0.543800172307664,0.873247214199353
"Site_0085",395587.000418845,4603521.99984188,32616,-0.0793012970240881,-0.623890975316951,-0.614787892871991
"Site_0086",396587.000418845,4603521.99984188,32616,-0.0937771098506432,-0.642468529914852,-0.342850457790533
"Site_0087",397587.000418845,4603521.99984188,32616,-0.876566193958362,-0.731289336460773,0.341277600179012
"Site_0088",398587.000418845,4603521.99984188,32616,-0.883981264337682,-0.678040753021643,0.816345491467133
"Site_0089",399587.000418845,4603521.99984188,32616,-0.632475484795626,-0.40097825355366,2.08955553760878
"Site_0090",400587.000418845,4603521.99984188,32616,-0.95973350171634,-0.499177712780079,0.842654022183932
"Site_0091",401587.000418845,4603521.99984188,32616,-0.643562103753402,-0.726194921480296,0.223545265485214
"Site_0092",402587.000418845,4603521.99984188,32616,0.524398796001844,-0.456588467808885,-0.294593823904108
"Site_0093",403587.000418845,4603521.99984188,32616,0.289891747502561,-0.686960061602214,-0.0934275525125491
"Site_0094",404587.000418845,4603521.99984188,32616,-0.00180701541769079,-0.618383732430918,0.45889347028923
"Site_0095",405587.000418845,4603521.99984188,32616,-0.188659359214232,-0.482708327164124,0.00829776230827822
"Site_0096",406587.000418845,4603521.99984188,32616,-0.431276827508054,-0.426251451606822,-0.292563703590742
"Site_0097",407587.000418845,4603521.99984188,32616,-0.509811442313439,-0.334259898167735,-0.0236407637942745
"Site_0098",408587.000418845,4603521.99984188,32616,-0.589291658931407,-0.250432518560656,-0.00775323619106166
"Site_0099",409587.000418845,4603521.99984188,32616,-0.937393671231475,-0.527495018028637,-0.310225532465364
"Site_0100",410587.000418845,4603521.99984188,32616,-1.21576570543072,-0.71865591008757,-0.641620943789036
"Site_0101",411587.000418845,4603521.99984188,32616,-0.691782642160264,-0.661140551092959,0.27244596427028
"Site_0102",412587.000418845,4603521.99984188,32616,-0.304338900596739,-0.540660987729216,1.06238032925982
"Site_0103",413587.000418845,4603521.99984188,32616,-0.502201761607042,-0.696466625151812,1.17829889334815
"Site_0104",414587.000418845,4603521.99984188,32616,-0.405693066672595,-0.73853306697822,2.52664020434501
"Site_0105",415587.000418845,4603521.99984188,32616,-0.275444017870968,-0.522432462019602,3.80560870491897
"Site_0106",416587.000418845,4603521.99984188,32616,-0.357850402970106,-0.725500509191836,1.35532909218756
"Site_0107",417587.000418845,4603521.99984188,32616,-0.342977773003453,-0.719279681232795,0.624669053387587
"Site_0108",418587.000418845,4603521.99984188,32616,-0.575628216554735,-0.609401060748603,0.475571943839023
"Site_0109",419587.000418845,4603521.99984188,32616,-2.12554203523455,-0.417818772750363,0.430033080547623
"Site_0110",420587.000418845,4603521.99984188,32616,-3.01314461286155,-0.622501832621334,0.805577333644295
"Site_0111",421587.000418845,4603521.99984188,32616,-2.76719498462011,-0.679410541208249,0.852368139687892
"Site_0112",422587.000418845,4603521.99984188,32616,-1.73158183382505,-0.592536832732893,0.118220683486609
"Site_0113",423587.000418845,4603521.99984188,32616,-0.915880464109551,-0.438768031064071,0.171208569455444
"Site_0114",395587.000418845,4604521.99984188,32616,-0.610781544995601,-0.635043768936218,-0.536909840348976
"Site_0115",396587.000418845,4604521.99984188,32616,-0.404092573335223,-0.59333469565632,0.0409708961095532
"Site_0116",397587.000418845,4604521.99984188,32616,-0.747839424488074,-0.733945900493248,0.68991832596807
"Site_0117",398587.000418845,4604521.99984188,32616,-0.632794204004556,-0.521414724425965,1.2328943593856
"Site_0118",399587.000418845,4604521.99984188,32616,0.000532587633470583,-0.305147703452942,1.14574018836342
"Site_0119",400587.000418845,4604521.99984188,32616,-0.165231127781302,-0.461863226021239,0.577134933623382
"Site_0120",401587.000418845,4604521.99984188,32616,-0.499017401424461,-0.710067939572674,-0.0555943837182362
"Site_0121",402587.000418845,4604521.99984188,32616,-0.181843760448199,-0.633099903911605,-0.206146128594545
"Site_0122",403587.000418845,4604521.99984188,32616,0.128344557123691,-0.551606450844911,0.245767860107499
"Site_0123",404587.000418845,4604521.99984188,32616,0.378768686481679,-0.622605144180687,0.548777319340508
"Site_0124",405587.000418845,4604521.99984188,32616,0.122024486261347,-0.575062274975215,1.02328178299171
"Site_0125",406587.000418845,4604521.99984188,32616,-0.170190199995321,-0.702006402989322,0.818203084860239
"Site_0126",407587.000418845,4604521.99984188,32616,-0.422918769591572,-0.551604055832876,-0.0999516649390711
"Site_0127",408587.000418845,4604521.99984188,32616,-0.571611757470859,-0.46138719523545,1.25798312440007
"Site_0128",409587.000418845,4604521.99984188,32616,-0.947939739523726,-0.441581984714951,2.63436198867177
"Site_0129",410587.000418845,4604521.99984188,32616,-1.02214767353951,-0.705636092063894,0.0169390853812074
"Site_0130",411587.000418845,4604521.99984188,32616,-0.453492632046078,-0.72695224819268,-0.532782526222609
"Site_0131",412587.000418845,4604521.99984188,32616,-0.018031553157407,-0.730027709036821,0.0412586789385932
"Site_0132",413587.000418845,4604521.99984188,32616,-0.0411569201508986,-0.699792909734149,1.19594000609524
"Site_0133",414587.000418845,4604521.99984188,32616,0.100419931525249,-0.721777496994213,1.48958144697779
"Site_0134",415587.000418845,4604521.99984188,32616,-0.0859752331594419,-0.716095035680818,1.65220035897703
"Site_0135",416587.000418845,4604521.99984188,32616,-0.640656178332435,-0.615749251672333,0.509003889307684
"Site_0136",417587.000418845,4604521.99984188,32616,-0.492536112444782,-0.647480454547553,0.558326972552202
"Site_0137",418587.000418845,4604521.99984188,32616,-0.365281751658569,-0.713867942900082,1.18903999012301
"Site_0138",419587.000418845,4604521.99984188,32616,-1.1594095066151,-0.611548370634788,2.04532971209479
"Site_0139",420587.000418845,4604521.99984188,32616,-2.0589329677817,-0.443603817098069,2.05340889637208
"Site_0140",421587.000418845,4604521.99984188,32616,-2.19490973756928,-0.654678110855434,1.19527410373683
"Site_0141",422587.000418845,4604521.99984188,32616,-1.7305699712999,-0.700113985677288,0.63961945967277
"Site_0142",423587.000418845,4604521.99984188,32616,-1.24704433318718,-0.673388541984115,0.659386688729956
"Site_0143",395587.000418845,4605521.99984188,32616,-0.701554509376866,-0.59832669161795,-0.604521635169663
"Site_0144",396587.000418845,4605521.99984188,32616,-0.451225018811315,-0.548698419682439,-0.133805994867194
"Site_0145",397587.000418845,4605521.99984188,32616,-0.791585709057969,-0.672494301855925,0.748694983909644
"Site_0146",398587.000418845,4605521.99984188,32616,-0.858175261147585,-0.679258772019878,1.11009179614209
"Site_0147",399587.000418845,4605521.99984188,32616,-0.0876663862933904,-0.503414515305882,0.62000309324943
"Site_0148",400587.000418845,4605521.99984188,32616,-0.30112449665276,-0.44213001981733,-0.11900206606989
"Site_0149",401587.000418845,4605521.99984188,32616,-1.00053480783392,-0.717291191711908,-0.664104246751397
"Site_0150",402587.000418845,4605521.99984188,32616,-0.916901416962377,-0.614483104498509,-0.754105938980756
"Site_0151",403587.000418845,4605521.99984188,32616,-0.34102363926103,-0.721998093827042,0.783266731999369
"Site_0152",404587.000418845,4605521.99984188,32616,-0.0963973202805706,-0.743777677956237,1.93839753431902
"Site_0153",405587.000418845,4605521.99984188,32616,0.0935710416080515,-0.695196740264818,1.46626403825324
"Site_0154",406587.000418845,4605521.99984188,32616,-0.199645156033326,-0.626094456806913,0.616699476804023
"Site_0155",407587.000418845,4605521.99984188,32616,-0.526472499136463,-0.667798426312039,-0.0558546938185504
"Site_0156",408587.000418845,4605521.99984188,32616,-0.607361486273287,-0.523888071722698,2.40430329954897
"Site_0157",409587.000418845,4605521.99984188,32616,-1.1250414230302,-0.425167787744476,3.82852414311783
"Site_0158",410587.000418845,4605521.99984188,32616,-1.17209025125454,-0.681337322958305,0.286416515600163
