"Site","open_dev"
"Site_0230",0.0221010332950631
"Site_0231",0.0461450272284322
"Site_0232",0.101374570446735
"Site_0233",0.0864586315488119
"Site_0234",0.0701001430615164
"Site_0235",0.0991404011461318
"Site_0236",0.0513040985955861
"Site_0237",0.0712446351931331
"Site_0238",0.0815917549384483
"Site_0239",0.108309455587393
"Site_0240",0.107674684994273
"Site_0241",0.0439024390243902
"Site_0242",0.066571018651363
"Site_0243",0.0838820498139135
"Site_0244",0.0923165137614679
"Site_0245",0.0217702663993125
"Site_0246",0.0306854029251506
"Site_0247",0.128477201032406
"Site_0248",0.188538681948424
"Site_0249",0.151489117983963
"Site_0250",0.120778477389811
"Site_0251",0.160274756725816
"Site_0252",0.171297622457748
"Site_0253",0.187786697247706
"Site_0254",0.185959885386819
"Site_0255",0.129401660463785
"Site_0256",0.0783752860411899
"Site_0257",0.0546651402404121
"Site_0258",0.0545350172215844
"Site_0259",0.0634829854160709
"Site_0260",0.0651614747070592
"Site_0261",0.0888252148997135
"Site_0262",0.0931498996847234
"Site_0263",0.0538681948424069
"Site_0264",0.0670295044399885
"Site_0265",0.0397824842587293
"Site_0266",0.108247422680412
"Site_0267",0.13428981348637
"Site_0268",0.18100975329891
"Site_0269",0.209075244112579
"Site_0270",0.106498711709133
"Site_0271",0.0923165137614679
"Site_0272",0.110824742268041
"Site_0273",0.126542324246772
"Site_0274",0.0415591860131843
"Site_0275",0.0128681727194738
"Site_0276",0.078834618680377
"Site_0277",0.278238490134401
"Site_0278",0.250429307384087
"Site_0279",0.168719564594672
"Site_0280",0.223940435280641
"Site_0281",0.231979405034325
"Site_0282",0.24914089347079
"Site_0283",0.236676217765043
"Site_0284",0.165471752222541
"Site_0285",0.10849598163031
"Site_0286",0.0935974734424347
"Site_0287",0.0510174835196331
"Site_0288",0.148137535816619
"Site_0289",0.107388316151203
"Site_0290",0.11276473955352
"Site_0291",0.0601030337721809
"Site_0292",0.0668004587155963
"Site_0293",0.0723098995695839
"Site_0294",0.021239954075775
"Site_0295",0.0533869115958668
"Site_0296",0.0819954128440367
"Site_0297",0.190830945558739
"Site_0298",0.180360721442886
"Site_0299",0.105413921512461
"Site_0300",0.0687088462639565
"Site_0301",0.0762396102034967
"Site_0302",0.0901545506582713
"Site_0303",0.0716119828815977
"Site_0304",0.021173104434907
"Site_0305",0.092237181323403
"Site_0306",0.309939845316528
"Site_0307",0.223337155963303
"Site_0308",0.296126255380201
"Site_0309",0.290304073436604
"Site_0310",0.222381635581062
"Site_0311",0.176268271711092
"Site_0312",0.134059008879977
"Site_0313",0.0552533638705983
"Site_0314",0.144002290294875
"Site_0315",0.118945256520493
"Site_0316",0.136103151862464
"Site_0317",0.0735209649626651
"Site_0318",0.0917957544463569
"Site_0319",0.0986804360298336
"Site_0320",0.0237686139747995
"Site_0321",0.0649685174585003
"Site_0322",0.129041487839771
"Site_0323",0.0942423374391292
"Site_0324",0.0890862217129762
"Site_0325",0.0506582713222667
"Site_0326",0.0465182648401826
"Site_0327",0.0637507146941109
"Site_0328",0.0744132799084144
"Site_0329",0.0487245629120092
"Site_0330",0.0137654143963292
"Site_0331",0.0515611572615296
"Site_0332",0.0934633027522936
"Site_0333",0.0715922107674685
"Site_0334",0.0754662840746055
"Site_0335",0.113597246127367
"Site_0336",0.113083309476095
"Site_0337",0.144819690898683
"Site_0338",0.121637092157985
"Site_0339",0.0426567420555397
"Site_0340",0.0966446802408947
"Site_0341",0.254654826697221
"Site_0342",0.200915855752719
"Site_0343",0.0217578013169196
"Site_0344",0.0280561122244489
"Site_0345",0.018348623853211
"Site_0346",0.0502296211251435
"Site_0347",0.0538990825688073
"Site_0348",0.0481237467774277
"Site_0349",0.0358268844941244
"Site_0350",0.0117545871559633
"Site_0351",0.0395869191049914
"Site_0352",0.0865081638498997
"Site_0353",0.0947338294218661
"Site_0354",0.0821173104434907
"Site_0355",0.0808254514187446
"Site_0356",0.0894495412844037
"Site_0357",0.0919770773638968
"Site_0358",0.0369310048668766
"Site_0359",0.0312052676782136
"Site_0360",0.121958202118523
"Site_0361",0.128829086744918
"Site_0362",0.0149296583405111
"Site_0363",0.0149210903873745
"Site_0364",0.019192208536236
"Site_0365",0.0338205789624534
"Site_0366",0.0229292060762396
"Site_0367",0.014638346727899
"Site_0368",0.0341561423650976
"Site_0369",0.0383844170724721
"Site_0370",0.022616661895219
"Site_0371",0.0778032036613272
"Site_0372",0.100573065902579
"Site_0373",0.110920034393809
"Site_0374",0.179421037546575
"Site_0375",0.127720504009164
"Site_0376",0.090440755580996
"Site_0377",0.077319587628866
"Site_0378",0.0335724533715925
"Site_0379",0.0763709445879989
"Site_0380",0.0338205789624534
"Site_0381",0.0635920939558866
"Site_0382",0.0533256880733945
"Site_0383",0.0315186246418338
"Site_0384",0.0381635581061693
"Site_0385",0.0315366972477064
"Site_0386",0.00973375322072717
"Site_0387",0.029151186053158
"Site_0388",0.0723891273247496
"Site_0389",0.0750716332378223
"Site_0390",0.0340974212034384
"Site_0391",0.0418098510882016
"Site_0392",0.128902893153824
"Site_0393",0.30524505588994
"Site_0394",0.242467718794835
"Site_0395",0.145480631276901
"Site_0396",0.122882572494976
"Site_0397",0.167383204356549
"Site_0398",0.184421534936999
"Site_0399",0.110697940503432
"Site_0400",0.113786185153339
"Site_0401",0.0750071571714858
"Site_0402",0.0820938215102975
"Site_0403",0.0698539937016891
"Site_0404",0.0719178082191781
"Site_0405",0.0406527340395076
"Site_0406",0.0584527220630372
"Site_0407",0.0383954154727794
"Site_0408",0.0532646048109966
"Site_0409",0.0825451418744626
"Site_0410",0.0750501289028932
"Site_0411",0.115991960953201
"Site_0412",0.197474167623421
"Site_0413",0.186066513761468
"Site_0414",0.176689576174112
"Site_0415",0.138602520045819
"Site_0416",0.109871244635193
"Site_0417",0.142898052691867
"Site_0418",0.066189111747851
"Site_0419",0.0783977110157368
"Site_0420",0.0613934894346088
"Site_0421",0.0875787063537493
"Site_0422",0.0781115879828326
"Site_0423",0.084740910392213
"Site_0424",0.0756663800515907
"Site_0425",0.0798740337818494
"Site_0426",0.0530085959885387
"Site_0427",0.0478510028653295
"Site_0428",0.1061388410786
"Site_0429",0.169583931133429
"Site_0430",0.136194563662375
"Site_0431",0.0429061784897025
"Site_0432",0.108695652173913
"Site_0433",0.230306502434832
"Site_0434",0.190763052208835
"Site_0435",0.111174785100287
"Site_0436",0.101602747567258
"Site_0437",0.0686695278969957
"Site_0438",0.0704265674205554
"Site_0439",0.065672497849154
"Site_0440",0.0920826161790017
"Site_0441",0.061335626253941
"Site_0442",0.0535663133772558
"Site_0443",0.0727793696275072
"Site_0444",0.0665519219736087
"Site_0445",0.0645624103299857
"Site_0446",0.0734366035570855
"Site_0447",0.0709788208357184
"Site_0448",0.175679542203147
"Site_0449",0.106815578465063
"Site_0450",0.0968758956721124
"Site_0451",0.0991404011461318
"Site_0452",0.132550815917549
"Site_0453",0.140566847981678
"Site_0454",0.120847651775487
"Site_0455",0.0931232091690544
"Site_0456",0.0629129560471129
"Site_0457",0.0731497418244406
"Site_0458",0.104554568891435
"Site_0459",0.106334193178561
"Site_0460",0.0776726855832617
"Site_0461",0.0481927710843374
"Site_0462",0.0496555683122847
"Site_0463",0.0990836197021764
"Site_0464",0.0918980818780418
"Site_0465",0.0841683366733467
"Site_0466",0.0658837009452879
"Site_0467",0.0920034393809114
"Site_0468",0.114072800229292
"Site_0469",0.246994848311391
"Site_0470",0.15864833906071
"Site_0471",0.175544100801833
"Site_0472",0.1923629055412
"Site_0473",0.173650975889782
"Site_0474",0.127580275229358
"Site_0475",0.0922636103151862
"Site_0476",0.11432664756447
"Site_0477",0.136793805563522
"Site_0478",0.144291451520367
"Site_0479",0.139581541989109
"Site_0480",0.0693012600229095
"Site_0481",0.0386376645678306
"Site_0482",0.0724098454493417
"Site_0483",0.0776504297994269
"Site_0484",0.0776949541284404
"Site_0485",0.100286532951289
"Site_0486",0.0885894495412844
"Site_0487",0.101549053356282
"Site_0488",0.105609616485404
"Site_0489",0.090466647580876
"Site_0490",0.104208416833667
"Site_0491",0.16805038648726
"Site_0492",0.132492113564669
"Site_0493",0.0928041119360365
"Site_0494",0.105037206639954
"Site_0495",0.0825451418744626
"Site_0496",0.0990241102181401
"Site_0497",0.0798283261802575
"Site_0498",0.0718991692924663
"Site_0499",0.0679277730008599
"Site_0500",0.0730868443680138
"Site_0501",0.0539764570772323
"Site_0502",0.113909559244419
"Site_0503",0.141874462596733
"Site_0504",0.187178019461935
"Site_0505",0.150586888061838
