"Site","water_dist"
"Site_0141",167.726036207581
"Site_0142",264.18601814123
"Site_0143",535.106299703331
"Site_0144",714.229320793544
"Site_0145",267.413593615745
"Site_0146",242.998632453761
"Site_0147",877.672242385286
"Site_0148",1098.86600049485
"Site_0149",105.728450581222
"Site_0150",476.793056620695
"Site_0151",88.7398573065194
"Site_0152",10.130936319317
"Site_0153",185.473820270426
"Site_0154",434.884273112642
"Site_0155",284.362388753674
"Site_0156",803.777159304286
"Site_0157",1160.08768190401
"Site_0158",235.496531150196
"Site_0159",249.990119015044
"Site_0160",380.848331441927
"Site_0161",10.9587546593696
"Site_0162",268.617939747157
"Site_0163",540.193937721342
"Site_0164",432.815283947431
"Site_0165",505.885320335148
"Site_0166",886.879007753239
"Site_0167",796.611893877404
"Site_0168",552.38342317377
"Site_0169",197.748901496984
"Site_0170",904.352391480456
"Site_0171",106.483564649277
"Site_0172",5.27974903106707
"Site_0173",268.692241580416
"Site_0174",411.727582658432
"Site_0175",422.384615781197
"Site_0176",489.736505546397
"Site_0177",1402.08862795861
"Site_0178",705.425000455788
"Site_0179",25.1281285520744
"Site_0180",947.856511581381
"Site_0181",325.232257597921
"Site_0182",158.359463594988
"Site_0183",104.686570553868
"Site_0184",153.119018484851
"Site_0185",463.83869976221
"Site_0186",1247.32657177286
"Site_0187",306.554437366267
"Site_0188",67.1720806416071
"Site_0189",276.333909847289
"Site_0190",431.49762580912
"Site_0191",451.017682513838
"Site_0192",68.0139291425336
"Site_0193",230.369596487677
"Site_0194",14.2530674238663
"Site_0195",678.923416157842
"Site_0196",1314.1442146055
"Site_0197",977.302329056174
"Site_0198",935.655365942198
"Site_0199",516.743619729426
"Site_0200",382.672583975049
"Site_0201",387.601368233531
"Site_0202",1254.37356064763
"Site_0203",1329.25237874783
"Site_0204",800.127467358571
"Site_0205",340.377138508021
"Site_0206",760.044328221325
"Site_0207",230.464459220565
"Site_0208",399.218540396434
"Site_0209",1099.36505619916
"Site_0210",929.721392530211
"Site_0211",377.45042497005
"Site_0212",55.1007137594222
"Site_0213",113.967822256767
"Site_0214",700.438045440289
"Site_0215",1121.07918317282
"Site_0216",138.054906973859
"Site_0217",39.6030272195964
"Site_0218",513.148113563192
"Site_0219",58.0535071404599
"Site_0220",86.4213339470858
"Site_0221",109.773295084115
"Site_0222",108.993689488618
"Site_0223",619.077946904194
"Site_0224",68.9011681427759
"Site_0225",853.524950292028
"Site_0226",474.423502334739
"Site_0227",994.028583078583
"Site_0228",1264.10337019789
"Site_0229",853.693610545978
"Site_0230",414.097761844558
"Site_0231",695.271409950022
"Site_0232",475.359422380989
"Site_0233",715.493146052085
