"Site","HU10","tree","imperv"
"Site_0204",252.371009782873,0.0760678439146871,0.216333647826369
"Site_0205",300.192604251993,0.206988235908268,0.274179922676196
"Site_0206",189.821042654835,0.273264060423022,0.159819696051419
"Site_0207",3.82032345814515,0.238451896136934,0.0309902794692383
"Site_0208",125.233498091939,0.205759062476425,0.114966069329405
"Site_0209",517.211142150075,0.115200889737996,0.26448633323349
"Site_0210",696.311464236263,0.0838199175713993,0.277053489464698
"Site_0211",664.933040233187,0.0738005042667871,0.284766858575798
"Site_0212",291.561085477277,0.0401605313526657,0.236951177549293
"Site_0213",2.27634813899062,0.0233154197790976,0.204989290383245
"Site_0214",31.9818291152429,0.041498003737561,0.142190289662566
"Site_0215",61.1214964396655,0.108806957533694,0.13097960798619
"Site_0216",25.7162105374499,0.237655987196349,0.0906107198743062
"Site_0217",0.22128331233119,0.173112818965331,0.112831697842221
"Site_0218",36.4762179998277,0.239828991651072,0.145900768429855
"Site_0219",174.344654827623,0.341891888020581,0.144134875937934
"Site_0220",252.620829229014,0.220291230737302,0.195628674125372
"Site_0221",93.738107313266,0.144940074892061,0.109510222218827
"Site_0222",27.5138923799292,0.242617621958964,0.0626164824009914
"Site_0223",38.9351408552206,0.260203922477373,0.0564768877885247
"Site_0224",77.1867728650732,0.141009133866288,0.0889653536965978
"Site_0225",157.600565064899,0.110795843389256,0.123053299626496
"Site_0226",249.481350474418,0.0836957289834396,0.162113564006043
"Site_0227",199.860936517595,0.0870302723955376,0.168261285303577
"Site_0228",194.260105979209,0.107177712459869,0.150917474705226
"Site_0229",232.354464062698,0.209885251605169,0.177721068676193
"Site_0230",1.69606381462405,0.0199017501686252,0.0177353264261998
"Site_0231",90.9587578208728,0.0272262801371404,0.085685719715164
"Site_0232",235.202417063298,0.029447537184232,0.198149852288032
"Site_0233",162.816595691255,0.045594109011552,0.279855373610745
"Site_0234",134.066218213409,0.13637447331891,0.281174570848613
"Site_0235",92.6844737393909,0.253012193926337,0.154119094820287
"Site_0236",40.2824736047348,0.334530179135349,0.0658784036496158
"Site_0237",221.864192409652,0.25102162164571,0.155313546648909
"Site_0238",571.91637559101,0.141812454581366,0.269809686571236
"Site_0239",650.891114348906,0.107788487248373,0.250127006964693
"Site_0240",755.622143244629,0.0902702754320237,0.292332912105576
"Site_0241",370.281283321421,0.05059917054819,0.371879489163619
"Site_0242",31.1243185664246,0.0116421790976173,0.313536058446763
"Site_0243",71.4193676868699,0.0230232342726291,0.11388909313667
"Site_0244",58.4903429823388,0.0905357378750332,0.0913617619299996
"Site_0245",0.249949941622376,0.163000070664495,0.0895729763694111
"Site_0246",1.85586327664379,0.343979908358944,0.080944931014561
"Site_0247",30.9327579604697,0.461741372730083,0.0777745840547062
"Site_0248",79.4002199085453,0.400277439484388,0.0750509456051816
"Site_0249",162.151154154665,0.31775746450261,0.123385798624827
"Site_0250",113.121566225623,0.146040599070728,0.14223839516119
"Site_0251",47.4090921787641,0.251278084679377,0.0974536981775297
"Site_0252",75.0180504310677,0.373907632171176,0.0842397272701229
"Site_0253",104.879812997187,0.331364284263714,0.0999462697247087
"Site_0254",229.121339806563,0.264232220228902,0.154445308829502
"Site_0255",366.042549969682,0.232657268154271,0.220893052848568
